Condition Rating
2 2.6667
1 1.6667
2 2.0000
1 3.0000
1 1.6667
1 2.3333
2 2.0000
2 1.3333
2 1.6667
1 4.0000
2 2.3333
1 2.3333
2 2.6667
2 2.0000
2 1.6667
1 2.0000
1 2.6667
1 2.6667
1 2.3333
2 1.3333
1 3.3333
2 2.3333
2 2.0000
1 2.3333
2 2.3333
1 2.3333
2 2.3333
2 2.3333
1 2.6667
1 3.0000
1 2.6667
1 3.0000
2 2.3333
1 2.0000
2 1.6667
1 2.3333
2 3.6667
1 2.6667
2 2.3333
1 3.0000
2 2.6667
1 3.3333
1 3.0000
1 2.6667
2 2.0000
2 2.3333
2 2.3333
2 3.3333
1 2.3333
